Designator,Footprint,Quantity,Value,LCSC,Part,#
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,,,
"BT1, BT2",BH-18650-B1BA002,2,4V3,C2988620,,
"C1, C2",603,2,15p,C1644,,
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C24",603,10,1u,C15849,,
"C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36",1206,11,22u,C12891,,
"C5, C6, C7",603,3,100n,C14663,,
"D1, D2",D_SMB,2,SMBJ6.5CA,C7420377,,
"D4, D5, D6, D7, D8",D_SMA,5,SS210,C14996,,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C2927038,,
"J3, J4, J6",DB142R-5.08-2P-GN,3,Conn_01x02_Pin,C2898709,,
"L10, L11, L13, L14, L8, L9",L_Changjiang_FTC303020D,6,22u,C18724424,,
Q1,SOT-23,1,2N7002,C8545,,
"R1, R2",603,2,4k7,C23162,,
"R10, R14, R15, R17, R18, R20, R23, R24, R25, R28, R30, R31, R32, R35, R37, R38, R39, R43, R9",603,19,10k,C25804,,
"R11, R29",603,2,47k,C25819,,
"R12, R41, R42, R5",603,4,1k,C21190,,
"R13, R21, R6",603,3,39k,C23153,,
"R16, R22, R36",1206,3,0R1,C25334,,
"R19, R26, R40",603,3,100k,C25803,,
R27,603,1,220k,C22961,,
"R33, R34",603,2,47,C23182,,
SC1,DB142R-5.08-2P-GN,1,Solar_Cell,C2898709,,
"SW2, SW3",SW_SPST_TS-1088-xR020,2,KMS221GLFS,C720477,,
U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,1,ESP32-C6,C5364646,,
"U10, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,MCP6002-xSN,C7377,,
"U11, U4, U5, U6",SOT-23-6,4,STI3508,C708881,,
U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,DRV8220DSG,C3681269,,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521,,
U7,WLCSP-4_0.64x0.64mm_Layout2x2_P0.35mm,1,NCP163AFCT330T2G,C603648,,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C9010,,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32768Hz,C32346,,
