Designator,Mid X,Mid Y,Rotation,Layer
AE1,185.1,-144.25,180.0,top
BT1,65.0,-113.0,0.0,top
BT2,65.0,-135.0,0.0,top
C1,181.1,-134.35,180.0,top
C13,128.25,-111.75,180.0,top
C14,123.75,-132.0,0.0,top
C15,133.25,-143.25,90.0,top
C16,183.725,-136.6,270.0,top
C17,153.75,-114.0,90.0,top
C18,111.5,-119.25,180.0,top
C19,149.75,-146.75,270.0,top
C2,181.1,-128.35,0.0,top
C20,122.125,-148.3,90.0,top
C21,223.625,-129.85,0.0,top
C24,226.85,-121.35,180.0,top
C26,153.75,-106.0,0.0,top
C27,153.75,-108.5,0.0,top
C28,245.25,-128.25,270.0,top
C29,259.5,-128.25,270.0,top
C30,245.25,-133.0,90.0,top
C31,114.0,-121.5,180.0,top
C32,117.75,-125.25,90.0,top
C33,259.5,-133.0,90.0,top
C34,224.0,-123.0,90.0,top
C35,228.0,-133.0,90.0,top
C36,153.75,-111.0,0.0,top
C5,178.03,-128.33,0.0,top
C6,187.575,-135.725,270.0,top
C7,186.75,-125.225,90.0,top
D1,136.0,-138.75,0.0,top
D2,143.5,-138.75,180.0,top
D4,144.0,-118.0,180.0,top
D5,113.0,-129.5,180.0,top
D6,256.25,-131.75,90.0,top
D7,242.0,-131.75,90.0,top
D8,216.0,-120.75,270.0,top
J2,139.75,-146.5,0.0,top
J3,241.375,-141.375,0.0,top
J4,255.375,-141.375,0.0,top
J6,222.0,-141.5,0.0,top
L3,114.0,-125.25,180.0,top
L4,124.5,-120.5,0.0,top
L5,252.0,-127.75,270.0,top
L6,237.75,-127.5,270.0,top
L7,129.25,-123.0,180.0,top
L8,220.25,-123.0,90.0,top
Q1,227.88,-118.75,180.0,top
R1,146.25,-146.75,270.0,top
R10,185.225,-125.225,270.0,top
R11,110.0,-121.25,180.0,top
R12,249.5,-131.75,90.0,top
R13,249.0,-134.5,0.0,top
R14,183.725,-133.575,90.0,top
R15,111.5,-117.5,180.0,top
R16,129.25,-119.25,0.0,top
R17,121.25,-112.5,90.0,top
R18,121.25,-116.25,90.0,top
R19,130.75,-115.5,90.0,top
R2,133.25,-146.75,270.0,top
R20,123.75,-111.75,0.0,top
R21,114.75,-119.25,0.0,top
R22,124.5,-124.25,0.0,top
R23,131.0,-127.25,270.0,top
R24,131.0,-131.25,270.0,top
R25,128.25,-132.0,180.0,top
R26,121.25,-126.25,270.0,top
R27,152.0,-114.0,90.0,top
R28,155.5,-114.0,90.0,top
R29,148.0,-143.25,90.0,top
R30,148.0,-146.75,270.0,top
R31,194.775,-131.125,180.0,top
R32,183.7,-125.225,270.0,top
R33,194.775,-128.075,180.0,top
R34,194.775,-129.6,180.0,top
R35,194.775,-132.65,180.0,top
R36,225.5,-133.0,90.0,top
R37,213.5,-134.5,90.0,top
R38,213.5,-131.25,90.0,top
R39,218.25,-128.75,0.0,top
R40,223.0,-132.5,90.0,top
R41,223.25,-118.75,270.0,top
R42,225.3,-116.4,0.0,top
R43,225.0,-118.75,90.0,top
R5,235.25,-131.5,90.0,top
R6,234.75,-134.25,0.0,top
R9,110.0,-123.0,180.0,top
SC1,144.0,-109.0,180.0,top
SW2,118.3,-148.1,0.0,top
SW3,126.0,-148.1,180.0,top
U1,188.1,-130.35,180.0,top
U10,218.25,-132.5,270.0,top
U11,220.155,-118.65,0.0,top
U2,120.75,-121.25,90.0,top
U3,193.35,-124.35,90.0,top
U4,238.0,-132.25,90.0,top
U5,109.425,-125.6,0.0,top
U6,252.25,-132.5,90.0,top
U7,181.1,-136.6,0.0,top
U8,125.98,-115.315,270.0,top
U9,126.0,-128.25,90.0,top
Y1,181.1,-131.35,90.0,top
Y2,189.575,-136.25,270.0,top
